Word 1,Word 2,Human (mean)
love,sex,6.77
tiger,cat,7.35
tiger,tiger,10
book,paper,7.46
plane,car,5.77
train,car,6.31
telephone,communication,7.5
television,radio,6.77
media,radio,7.42
drug,abuse,6.85
bread,butter,6.19
student,professor,6.81
smart,student,4.62
smart,stupid,5.81
company,stock,7.08
stock,market,8.08
stock,phone,1.62
stock,cd,1.31
stock,jaguar,0.92
stock,egg,1.81
stock,live,3.73
stock,life,0.92
book,library,7.46
bank,money,8.12
wood,forest,7.73
money,cash,9.15
king,cabbage,0.23
king,queen,8.58
football,tennis,6.63
tennis,racket,7.56
law,lawyer,8.38
movie,star,7.38
movie,critic,6.73
movie,theater,7.92
physics,chemistry,7.35
space,chemistry,4.88
alcohol,chemistry,5.54
vodka,gin,8.46
vodka,brandy,8.13
drink,car,3.04
drink,ear,1.31
drink,mouth,5.96
drink,eat,6.87
car,automobile,8.94
journey,voyage,9.29
coast,shore,9.1
midday,noon,9.29
food,fruit,7.52
bird,crane,7.38
tool,implement,6.46
crane,implement,2.69
journey,car,5.85
coast,hill,4.38
coast,forest,3.15
money,dollar,8.42
money,cash,9.08
money,currency,9.04
money,wealth,8.27
money,property,7.57
money,bank,8.5
money,deposit,7.73
money,withdrawal,6.88
money,operation,3.31
tiger,jaguar,8
tiger,animal,7
psychology,anxiety,7
psychology,fear,6.85
psychology,depression,7.42
psychology,clinic,6.58
psychology,mind,7.69
psychology,health,7.23
psychology,science,6.71
psychology,discipline,5.58
precedent,information,3.85
precedent,law,6.65
precedent,collection,2.5
precedent,group,1.77
jaguar,cat,7.42
jaguar,car,7.27
energy,secretary,1.81
secretary,senate,5.06
energy,laboratory,5.09
computer,laboratory,6.78
weapon,secret,6.06
investigation,effort,4.59
news,report,8.16
canyon,landscape,7.53
image,surface,4.56
discovery,space,6.34
wednesday,news,2.22
mile,kilometer,8.66
computer,news,4.47
territory,surface,5.34
atmosphere,landscape,3.69
president,medal,3
war,troops,8.13
record,number,6.31
skin,eye,6.22
japanese,american,6.5
theater,history,3.91
prejudice,recognition,3
decoration,valor,5.63
century,year,7.59
century,nation,3.16
delay,news,3.31
minister,party,6.63
peace,plan,4.75
minority,peace,3.69
attempt,peace,4.25
government,crisis,6.56
deployment,departure,4.25
deployment,withdrawal,5.88
energy,crisis,5.94
announcement,news,7.56
announcement,effort,2.75
victim,emergency,6.47
treatment,recovery,7.91
journal,association,4.97
liability,insurance,7.03
school,center,3.44
reason,hypertension,2.31
hundred,percent,7.38
harvard,yale,8.13
hospital,infrastructure,4.63
death,row,5.25
lawyer,evidence,6.69
life,death,7.88
life,term,4.5
board,recommendation,4.47
governor,interview,3.25
opec,country,5.63
peace,atmosphere,3.69
peace,insurance,2.94
territory,kilometer,5.28
travel,activity,5
competition,price,6.44
consumer,confidence,4.13
consumer,energy,4.75
problem,airport,2.38
car,flight,4.94
credit,card,8.06
credit,information,5.31
hotel,reservation,8.03
grocery,money,5.94
registration,arrangement,6
arrangement,accommodation,5.41
month,hotel,1.81
type,kind,8.97
arrival,hotel,6
situation,conclusion,4.81
situation,isolation,3.88
direction,combination,2.25
street,place,6.44
street,avenue,8.88
street,block,6.88
street,children,4.94
listing,proximity,2.56
listing,category,6.38
cell,phone,7.81
production,hike,1.75
benchmark,index,4.25
media,trading,3.88
media,gain,2.88
dividend,payment,7.63
dividend,calculation,6.48
currency,market,7.5
opec,oil,8.59
oil,stock,6.34
announcement,production,3.38
announcement,warning,6
profit,warning,3.88
profit,loss,7.63
dollar,yen,7.78
dollar,buck,9.22
dollar,profit,7.38
dollar,loss,6.09
computer,software,8.5
network,hardware,8.31
phone,equipment,7.13
equipment,maker,5.91
luxury,car,6.47
report,gain,3.63
investor,earning,7.13
liquid,water,7.89
game,victory,7.03
game,team,7.69
marathon,sprint,7.47
game,series,6.19
game,defeat,6.97
seafood,sea,7.47
seafood,food,8.34
seafood,lobster,8.7
lobster,food,7.81
lobster,wine,5.7
food,preparation,6.22
start,year,4.06
start,match,4.47
game,round,5.97
line,insurance,2.69
day,summer,3.94
summer,drought,7.16
summer,nature,5.63
day,dawn,7.53
nature,environment,8.31
nature,man,6.25
man,governor,5.25
life,lesson,5.94
focus,life,4.06
production,crew,6.25
television,film,7.72
population,development,3.75
mexico,brazil,7.44
change,attitude,5.44
family,planning,6.25
sugar,approach,0.88
practice,institution,3.19
ministry,culture,4.69
problem,challenge,6.75
size,prominence,5.31
country,citizen,7.31
development,issue,3.97
experience,music,3.47
music,project,3.63
glass,metal,5.56
aluminum,metal,7.83
chance,credibility,3.88
observation,architecture,4.38
space,world,6.53
preservation,world,6.19
admission,ticket,7.69
weather,forecast,8.34
disaster,area,6.25
governor,office,6.34
architecture,century,3.78
